Issued_Date,Permit__,Status,Designation,Project_Description,Permit_Type,Address,Valuation,Fees_Paid,Square_Feet,Finaled_Date,ObjectId
2022/02/15 06:00:00+00,B2111-0066,Project Finaled / Closed,Commercial,"New construction  167,950 tilt-wall warehouse and site work (WITH A CERTIFICATE OF COMPLIANCE)",Shell Building,"505 N WILDWOOD DR, IRVING TX 75061","$9,121,000.00","$30,791.60",167950,2023/05/17 05:00:00+00,1
2022/02/15 06:00:00+00,2022-02-114,Expired,Commercial,2-120 Volt plugs relocation,Electrical Standalone,"5250 N OCONNOR BLVD, 144, IRVING TX 75039",$600.00,$52.00,0,,2
2022/02/16 06:00:00+00,2022-02-125,Project Finaled / Closed,Commercial,Pipe Pull To Replace Main Sewer Line,Plumbing Standalone,"2121 E GRAUWYLER RD, Irving TX 75061","$13,800.00",$52.00,1,2022/02/22 06:00:00+00,3
2022/02/16 06:00:00+00,2022-02-109,Expired,Commercial,"performing an electrical preventive maintenance on existing main electrical switchgear tentatively Feb 19th, 2022  and will need courtsey release from Oncor
ONCOR CONFIRMATION NUMBER: ELECTRICAL METER RELEASE: #8033623",Electrical Standalone,"3660 REGENT BLVD, Irving TX 75063","$5,500.00",$52.00,0,,4
2022/02/16 06:00:00+00,2022-02-129,Project Finaled / Closed,Commercial,Gas test and repair,Plumbing Standalone,"4525 W ROYAL LN, Irving TX 75063","$15,000.00",$52.00,3000,2022/05/31 05:00:00+00,5
2022/02/16 06:00:00+00,B2201-0356,Project Finaled / Closed,Commercial,DEMO/ REMODEL,Alteration/Renovation,"825 W IRVING BLVD, BSMT, IRVING TX 75060","$22,970.00",$0.00,250,2024/06/10 05:00:00+00,6
2022/02/17 06:00:00+00,B2112-0291,Expired,Commercial,"COMMERCIAL BUILDING >> OFFICE (BUSINESS) >> Replace two doors and renovate outdoor patio, add patio cover",Alteration/Renovation,"6000 CONNECTION DR, Irving TX 75039","$450,000.00","$1,345.15",6758,,7
2022/02/17 06:00:00+00,2022-02-171,Project Finaled / Closed,Commercial,"ADD 2 EV CAR CHARGERS, 208 VOLT - 40 AMP CIRCUITS",Electrical Standalone,"2220 CHEMSEARCH BLVD, Irving TX 75062","$13,055.00",$52.00,0,2024/01/23 06:00:00+00,8
2022/02/17 06:00:00+00,2022-02-172,Expired,Commercial,BREAKER TESTING BUILDING # 3015,Electrical Standalone,"3015 N SKYWAY CIR, Irving TX 75038","$3,000.00",$52.00,0,,9
2022/02/17 06:00:00+00,2022-02-175,Project Finaled / Closed,Commercial,"installing 37 steel piles to prevent further downward movement of the slab.
******RECEIVED FINAL ENGINEER REPORT, SCANNED IN ONBASE",Foundation Repair,"8551 ESTERS BLVD, Irving TX 75063","$107,330.00",$125.00,296,2022/06/09 05:00:00+00,10
2022/02/18 06:00:00+00,B2104-0116,Expired,Commercial,"Remodel-retail
NOTES:  A & T MECHANICAL SERVICES WILL BE WORKING ON VENT HOODS ONLY",Alteration/Renovation,"3500 N BELT LINE RD, 110, IRVING TX 75062","$49,000.00","$1,162.50",5000,,11
2022/02/18 06:00:00+00,B2201-0098,Project Finaled / Closed,Commercial,COMMERCIAL BUILDING >> OFFICE (BUSINESS) >> Tenant OFFICE finish out,Alteration/Renovation,"555 W AIRPORT FWY, 140, Irving TX 75062","$45,000.00",$482.50,990,2022/05/26 05:00:00+00,12
2022/02/18 06:00:00+00,2022-02-183,Expired,Commercial,Replace damaged meter base pedestal for landscape controller,Electrical Standalone,"5383 RIVERSIDE DR, Irving TX 75039","$1,500.00",$52.00,0,,13
2022/02/18 06:00:00+00,2022-02-193,Project Finaled / Closed,Commercial,Electrical stand alone permit needed to open new account in Buyers name for existing service being terminated by seller today on exterior lights for occupied retail strip.,Electrical Standalone,"10009 N MACARTHUR BLVD, Irving TX 75063",$0.00,$52.00,9000,2022/02/21 06:00:00+00,14
2022/02/18 06:00:00+00,B2111-0321,Project Finaled / Closed,Commercial,REMODEL FOR RESTAURANT,Alteration/Renovation,"2235 W ROCHELLE RD, Irving TX 75062","$12,000.00",$0.00,2000,2023/08/15 05:00:00+00,15
2022/02/19 06:00:00+00,2022-02-147,Project Finaled / Closed,Commercial,ON-SITE UTILITIES:  Underground Storm drain 93' FT,Plumbing Standalone,"1275 VALLEY VIEW LN, Irving TX 75061","$6,500.00",$67.58,93,2024/08/08 05:00:00+00,16
2022/02/21 06:00:00+00,B2202-0031,Project Finaled / Closed,Commercial,REMODEL TO ADD OFFICES IN TENANT SPACE with Electrical and Mechanical work.,Alteration/Renovation,"600 E LAS COLINAS BLVD, 2250, Irving TX 75039","$266,875.00",$872.65,4058,2022/05/03 05:00:00+00,17
2022/02/21 06:00:00+00,CO2201-0078,,Commercial,CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>CO: CURIA,Certificate of Occupancy,"4343 W ROYAL LN, 126, Irving TX 75063",$0.00,$0.00,9868,2022/02/22 06:00:00+00,18
2022/02/21 06:00:00+00,2022-02-232,Expired,Commercial,"Electical improvements for the Irving Story Road EST Rehab project.

Fee's waived",Electrical Standalone,"2433 Parkside Ave, Irving  TX 75061","$10,000.00",$0.00,200,2022/02/21 06:00:00+00,19
2022/02/21 06:00:00+00,S2112-0065,Expired,Commercial,"WALL SIGN, 32 SF",Sign,"4343 W ROYAL LN, 126, IRVING TX 75063","$6,246.00",$50.00,0,,20
2022/02/21 06:00:00+00,CO2112-0050,Project Finaled / Closed,Commercial,CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>CO- SHOEBACCA.COM,Certificate of Occupancy,"590 N WILDWOOD DR, IRVING TX 750618830",$0.00,$0.00,5000,2022/04/21 05:00:00+00,21
2022/02/21 06:00:00+00,2022-02-237,Expired,Commercial,commercial wood fence,Fence,"1410 N OCONNOR RD, Irving TX 75061","$10,200.00",$50.00,0,,22
2022/02/22 06:00:00+00,2022-02-163,Project Finaled / Closed,Commercial,"Commercial new fence, Wood, 105' x 8'",Fence,"3090 ROCK ISLAND RD, Irving TX 75060",$500.00,$75.00,0,2022/03/07 06:00:00+00,23
2022/02/22 06:00:00+00,2022-02-144,Expired,Commercial,AGRICULTURAL HORSE BARRIER FENCE (AG ZONING),Fence,"401 W HUNTER FERRELL RD, Irving TX 75060","$3,400.00",$50.00,0,,24
